,categoria,nome,telefone,shopping
0,GASTRONOMIA,40 SABORES,32155209,shopping vitoria
1,"MODA PRAIA, GINÁSTICA E ACESSÓRIOS",ACQUAMARE,33351926,shopping vitoria
2,VESTUÁRIO FEMININO,AÇÚCAR MORENO,33351896,shopping vitoria
3,MODA FEMININA E MASCULINA,AD LIFE,32241812,shopping vitoria
4,COSMÉTICOS E PERFUMARIA,ADCOS,27 33351832 / 27 998507555,shopping vitoria
5,"MODA PRAIA, GINÁSTICA E ACESSÓRIOS",ADIDAS,40423333,shopping vitoria
6,MODA FEMININA E MASCULINA,ALEATORY,32243693,shopping vitoria
7,BELEZA E ESTÉTICA,ALICE SALAZAR STORE,27 3010-3609,shopping vitoria
8,MODA INFANTIL,ALPHABETO,33172322,shopping vitoria
9,CALÇADOS E BOLSAS,ANACAPRI,32244860,shopping vitoria
10,VESTUÁRIO FEMININO,ANIMALE,997291698,shopping vitoria
11,VESTUÁRIO MASCULINO,ARAMIS,33351621,shopping vitoria
12,CALÇADOS E BOLSAS,AREZZO,33351234,shopping vitoria
13,OUTROS,ARTESANATO CAPIXABA,981271313,shopping vitoria
14,ARTIGOS DO LAR,ARTEX,30103152,shopping vitoria
15,CALÇADOS,ARTWALK,33351205,shopping vitoria
16,ÓTICA,ATITUDE POINT,30103163,shopping vitoria
17,CALÇADOS,AUTHENTIC FEET,33351158,shopping vitoria
18,COSMÉTICOS E PERFUMARIA,AVATIM,33451234,shopping vitoria
19,GASTRONOMIA,BACIO DI LATTE,32245048,shopping vitoria
20,ARTIGOS PARA VIAGEM,BAGAGGIO,32150096,shopping vitoria
21,MODA JOVEM,BAHAMAS SKATE SURF SHOP,33351421,shopping vitoria
22,MODA JOVEM,BAHAMAS SURF SHOP,33351287,shopping vitoria
23,"OUTROS,SERVIÇOS EM GERAL",BANESTES S/A,32246037,shopping vitoria
24,"BELEZA E ESTÉTICA ,SERVIÇOS EM GERAL",BARBEARIA THE KING,996904141,shopping vitoria
25,MODA INFANTIL,BB BÁSICO,32155304,shopping vitoria
26,MODA ÍNTIMA,BEAUTY,33351680,shopping vitoria
27,PURIFICADORES DE ÁGUA,BEBEDOUROS & CIA,33452548,shopping vitoria
28,BELEZA E ESTÉTICA,BEL SALVADOR,33245886,shopping vitoria
29,COSMÉTICOS E PERFUMARIA,BELEZA INTENSY,99694-1445,shopping vitoria
30,MODA INFANTIL,BIBI CALÇADOS,32155450,shopping vitoria
31,PRODUTOS NATURAIS E MÍSTICOS,BIO MUNDO,3224-5003,shopping vitoria
32,GASTRONOMIA,BOB'S,33351267,shopping vitoria
33,GASTRONOMIA,BOB'S BURGERS,33351267,shopping vitoria
34,GASTRONOMIA,BOB´S,33351267,shopping vitoria
35,BELEZA E ESTÉTICA,BODY LASER,99647-3637,shopping vitoria
36,SERVIÇOS EM GERAL,BODYTECH,30103277,shopping vitoria
37,VESTUÁRIO MASCULINO,BROOKSFIELD,33451929,shopping vitoria
38,VESTUÁRIO FEMININO,BROOKSFIELD DONNA,33244135,shopping vitoria
39,GASTRONOMIA,BUBBLEKILL,988170262,shopping vitoria
40,GASTRONOMIA,BURGER KING,23970320,shopping vitoria
41,LOJA DE DEPARTAMENTO,C&A,21220002,shopping vitoria
42,BOMBONIERE,CACAU SHOW,3335-1383,shopping vitoria
43,GASTRONOMIA,CAFÉ NÚMERO UM,30103124,shopping vitoria
44,GASTRONOMIA,CAFÉ NÚMERO UM,30103135,shopping vitoria
45,VESTUÁRIO FEMININO,CAJUERA,997743682,shopping vitoria
46,GASTRONOMIA,CALIFORNIA COFFEE,33893395,shopping vitoria
47,LOJA DE DEPARTAMENTO,CAMICADO,3324-2887,shopping vitoria
48,GASTRONOMIA,CANTINA DO BACCO,31372057,shopping vitoria
49,JOIAS E RELÓGIOS,CARLA BUAIZ JOIAS,33157016,shopping vitoria
50,CALÇADOS E BOLSAS,CARMEN STEFFENS,32273258,shopping vitoria
51,JOIAS E RELÓGIOS,CAROLINA NEVES,996996200,shopping vitoria
52,"ARTIGOS DO LAR,LOJA DE DEPARTAMENTO,PRESENTES E DECORAÇÃO",Casa & Video,4020-3636,shopping vitoria
53,GASTRONOMIA,CASA BAUDUCCO,32245172,shopping vitoria
54,VESTUÁRIO MASCULINO,CASA DAS CUECAS,3324-6599,shopping vitoria
55,GASTRONOMIA,CASA DO PÃO DE QUEIJO,32244458,shopping vitoria
56,ARTIGOS ESPORTIVOS,CENTAURO,33252559,shopping vitoria
57,SERVIÇOS EM GERAL,CENTRO MÉDICO E ODONTOLÓGICO,31821000,shopping vitoria
58,ÓTICA,CHILLI BEANS,32244606,shopping vitoria
59,ÓTICA,CHILLI BEANS STAND,32244810,shopping vitoria
60,"BOMBONIERE,STAND",CHOCOLATES BRASIL CACAU,3224-6396,shopping vitoria
61,GASTRONOMIA,CHOE´S,3335-1855,shopping vitoria
62,VESTUÁRIO MASCULINO,CIA DO TERNO,33351167,shopping vitoria
63,DIVERSÃO E LAZER,CINEMARK,33245973,shopping vitoria
64,TELEFONIA E ACESSÓRIOS,CLARO,1052,shopping vitoria
65,CALÇADOS E BOLSAS,CLUBE MELISSA,32240881,shopping vitoria
66,VESTUÁRIO FEMININO,CLUBE MORENA ROSA,027 3010-3536 99698-3325,shopping vitoria
67,GASTRONOMIA,COFFEETOWN,33452190,shopping vitoria
68,MODA JOVEM,COLCCI,3335-1985,shopping vitoria
69,COLCHÕES E AFINS,COLCHÕES ORTOBOM,32244980,shopping vitoria
70,CARTÕES PRIVILÉGE,CONCIERGE,3145-5820/3145-5821,shopping vitoria
71,CALÇADOS E BOLSAS,CONSTANCE,32274326,shopping vitoria
72,GASTRONOMIA,CORAÇÃO MINEIRO,33351765,shopping vitoria
73,GASTRONOMIA,CREMINO,33452059,shopping vitoria
74,BRINQUEDOS,CRIAMIGOS,996961777,shopping vitoria
75,MODA JOVEM,CRISTAL GRAFFITI,33451202,shopping vitoria
76,CALÇADOS,CROCS,32359113,shopping vitoria
77,CALÇADOS E BOLSAS,CS CLUB,33250426,shopping vitoria
78,AGÊNCIA DE TURISMO E CÂMBIO,CVC,33258141,shopping vitoria
79,BOMBONIERE,DEDO DE MOÇA BRIGADEIROS,32244986,shopping vitoria
80,GASTRONOMIA,DELTA Q,33252413,shopping vitoria
81,CALÇADOS,DEMOCRATA,33351206,shopping vitoria
82,BELEZA E ESTÉTICA,DERMASKIN CENTRO ESTÉTICO,3300-7082,shopping vitoria
83,ACESSÓRIOS E BIJUTERIAS,DI FEROLLA,33351223,shopping vitoria
84,"BELEZA E ESTÉTICA ,SERVIÇOS EM GERAL",DIRCEU PAIGEL,33154636,shopping vitoria
85,GASTRONOMIA,DIVINO FOGÃO,30136655,shopping vitoria
86,"SERVIÇOS AUTOMOTIVOS,STAND",DRIVER E NAUTICA,99249-8180 / 3389-7436,shopping vitoria
87,FARMÁCIA,DROGARIA PACHECO,3345-2809,shopping vitoria
88,"FARMÁCIA,SERVIÇOS EM GERAL",DROGASIL,33823931,shopping vitoria
89,MODA FEMININA E MASCULINA,DUDALINA,32155154,shopping vitoria
90,ÓTICA,ELEPHANT EYEWEAR,3497-8746,shopping vitoria
91,MODA JOVEM,ELLUS,33452009,shopping vitoria
92,ACESSÓRIOS E BIJUTERIAS,EMPORIO DO AÇO,33452846,shopping vitoria
93,BELEZA E ESTÉTICA,ESPAÇOLASER,31379976,shopping vitoria
94,COLCHÕES E AFINS,EURO COLCHÕES,32245182,shopping vitoria
95,"AGÊNCIA DE TURISMO E CÂMBIO,SERVIÇOS EM GERAL",EUROPA CAMBIO E TURISMO,988681627 | 33351655,shopping vitoria
96,"BOMBONIERE,OUTROS",Fábrica Di Chocolate,Não informado,shopping vitoria
97,VESTUÁRIO FEMININO,FARM,998882031,shopping vitoria
98,SUPLEMENTOS ALIMENTARES,FAST NUTRI,33351601,shopping vitoria
99,VESTUÁRIO MASCULINO,FATTO A MANO,32244766,shopping vitoria
100,GASTRONOMIA,FIGATA PIZZA & BIRRA,3224-6035,shopping vitoria
101,BOMBONIERE,FINI BRASIL,32155062,shopping vitoria
102,ARTIGOS DO LAR,FIRST CLASS,33450142 / 999323632,shopping vitoria
103,GASTRONOMIA,FIVE SPORT BAR,998390201,shopping vitoria
104,VESTUÁRIO MASCULINO,FLOREST,98845-2414,shopping vitoria
105,VESTUÁRIO FEMININO,FOLIC,33451894,shopping vitoria
106,PRESENTES E DECORAÇÃO,FOM,33157696,shopping vitoria
107,GASTRONOMIA,FREDDO,32352226,shopping vitoria
108,PRESENTES E DECORAÇÃO,FRICOTE,33351208,shopping vitoria
109,ALIMENTAÇÂO,FRUTERIA BRASIL,3010-3559,shopping vitoria
110,ÓTICA,FUEL,33170958,shopping vitoria
111,INFORMÁTICA,GAME MANIA,32244290,shopping vitoria
112,DIVERSÃO E LAZER,GAME POINT,32155542,shopping vitoria
113,BELEZA E ESTÉTICA,GIOLASER,Não informado,shopping vitoria
114,GASTRONOMIA,GIRAFFAS,33351469,shopping vitoria
115,MODA ÍNTIMA,GIULIA TAFFNER,33351828,shopping vitoria
116,COSMÉTICOS E PERFUMARIA,GRANADO,33242652,shopping vitoria
117,GASTRONOMIA,GREEN STATION,Não informado,shopping vitoria
118,GASTRONOMIA,GRILETTO,3225-0744,shopping vitoria
119,STAND,GV BUS,Não informado,shopping vitoria
120,CALÇADOS E BOLSAS,HAVAIANAS,99316-3069,shopping vitoria
121,MODA JOVEM,HERING,33351820,shopping vitoria
122,MODA ÍNTIMA,HOPE,33450110,shopping vitoria
123,PRESENTES E DECORAÇÃO,IMAGINARIUM,33351199,shopping vitoria
124,TELEFONIA E ACESSÓRIOS,IMPORT CELL,3345-0641,shopping vitoria
125,VESTUÁRIO MASCULINO,INDUS,3315-6866,shopping vitoria
126,VESTUÁRIO MASCULINO,INICIATTUM,33351145,shopping vitoria
127,BOLSAS E ACESSÓRIOS,INOVATHI,32243941,shopping vitoria
128,TELEFONIA E ACESSÓRIOS,IPLACE,3224-6390,shopping vitoria
129,CALÇADOS,ITAPUÃ,32119082,shopping vitoria
130,GASTRONOMIA,JAH DO AÇAI,32244932,shopping vitoria
131,ACESSÓRIOS E BIJUTERIAS,JAKLAYNE ACESSÓRIOS,33450634,shopping vitoria
132,BOLSAS E ACESSÓRIOS,JHENY,33451324,shopping vitoria
133,"MODA FEMININA E MASCULINA ,VESTUÁRIO MASCULINO",JOHN JOHN DENIM,33251905,shopping vitoria
134,GASTRONOMIA,JOHNNY ROCKETS,3010-3541,shopping vitoria
135,"OUTROS,PRESENTES E DECORAÇÃO",JOKER GEEK STUFF,Não informado,shopping vitoria
136,INFORMÁTICA,KALUNGA,(11) 33469966,shopping vitoria
137,MODA JOVEM,KONYK,33145682,shopping vitoria
138,BOMBONIERE,KOPENHAGEN,3225-7722,shopping vitoria
139,COSMÉTICOS E PERFUMARIA,L'OCCITANE AU BRÉSIL,3215-5185,shopping vitoria
140,COSMÉTICOS E PERFUMARIA,L'OCCITANE EN PROVENCE,3215-5185,shopping vitoria
141,MODA JOVEM,LACOSTE,27 99238-2937,shopping vitoria
142,COSMÉTICOS E PERFUMARIA,LÁCQUA DI FIORI,33450731,shopping vitoria
143,"ARTIGOS DO LAR,LOJA DE DEPARTAMENTO",LE BISCUIT,(71) 32768000,shopping vitoria
144,BOMBONIERE,LE CHOCOLATIER,99527-0734,shopping vitoria
145,VESTUÁRIO FEMININO,LE LIS BLANC DEUX,33251888,shopping vitoria
146,ARTIGOS PARA VIAGEM,LE POSTICHE,32244484,shopping vitoria
147,MODA JOVEM,LEVI'S,33351122,shopping vitoria
148,JOIAS E RELÓGIOS,LIFE BY VIVARA,32155240,shopping vitoria
149,SERVIÇOS EM GERAL,LIGUE LOTERIA,33351013,shopping vitoria
150,MODA INFANTIL,LILICA TIGOR,33351846,shopping vitoria
151,MODA ÍNTIMA,LIZ LINGERIE,32155275,shopping vitoria
152,MODA JOVEM,LOCAL,33351441,shopping vitoria
153,STAND,LOGA,Não informado,shopping vitoria
154,"ARTIGOS DO LAR,LOJA DE DEPARTAMENTO",LOJAS AMERICANAS,3335-1014,shopping vitoria
155,"CALÇADOS,CALÇADOS E BOLSAS",LOS NETO,Não informado,shopping vitoria
156,CALÇADOS,LOS NETO KIDS TEENS,99912-5046,shopping vitoria
157,"ARTIGOS ESPORTIVOS,CALÇADOS,CALÇADOS E BOLSAS",LOS SPORT,27 99224-6209,shopping vitoria
158,"ARTIGOS ESPORTIVOS,CALÇADOS,CALÇADOS E BOLSAS",LOS SPORT,27 99237-8784,shopping vitoria
159,MODA ÍNTIMA,LOUNGERIE,3235-8190,shopping vitoria
160,COSMÉTICOS E PERFUMARIA,LUAR MAKEUP,99909-2304,shopping vitoria
161,MODA ÍNTIMA,LUPO,32244317,shopping vitoria
162,CALÇADOS E BOLSAS,LUZ DA LUA,3010-3533,shopping vitoria
163,COSMÉTICOS E PERFUMARIA,MAC,33242747,shopping vitoria
164,GASTRONOMIA,MADERO,32276466,shopping vitoria
165,"MODA PRAIA, GINÁSTICA E ACESSÓRIOS",MAGIA DO MAR,33253891,shopping vitoria
166,COSMÉTICOS E PERFUMARIA,MAGIA DO PERFUME,99949-9000 / 3010-3553,shopping vitoria
167,"OUTROS,PRESENTES E DECORAÇÃO",MAGNÓLIA PAPELARIA,992664277,shopping vitoria
168,COSMÉTICOS E PERFUMARIA,MAHOGANY,33451566,shopping vitoria
169,"BELEZA E ESTÉTICA ,SERVIÇOS EM GERAL",MAIS QUE BELA,3224-4736 / 99501-1819 / 99830-8043,shopping vitoria
170,"OUTROS,STAND",MAJ SCOOTERS ELÉTRICAS,99947-2505,shopping vitoria
171,"BELEZA E ESTÉTICA ,SERVIÇOS EM GERAL",MANCAVE BARBEARIA,32244369,shopping vitoria
172,CALÇADOS E BOLSAS,MANOLITA,99846-8853,shopping vitoria
173,VESTUÁRIO FEMININO,MARQUEE,32244319,shopping vitoria
174,VESTUÁRIO MASCULINO,MASCHIO,33351148,shopping vitoria
175,MODA JOVEM,MAVERICK'S,33151805,shopping vitoria
176,COSMÉTICOS E PERFUMARIA,MAYBELLINE,32155348,shopping vitoria
177,GASTRONOMIA,MC DONALD'S,3224-0966,shopping vitoria
178,STAND,MC DONALD'S,Não informado,shopping vitoria
179,GASTRONOMIA,MEGAMATTE,33452037,shopping vitoria
180,BOLSAS E ACESSÓRIOS,METAL NOBRE,33450886,shopping vitoria
181,MODA INFANTIL,MILON,32244342,shopping vitoria
182,GASTRONOMIA,MISTER PIZZA,3335-1264,shopping vitoria
183,ARTIGOS DO LAR,MMARTAN,32150002,shopping vitoria
184,"OUTROS,SERVIÇOS EM GERAL",MON PETIT AMI,31372207,shopping vitoria
185,JOIAS,MONTE CARLO,99253-0930,shopping vitoria
186,ACESSÓRIOS E BIJUTERIAS,MORANA,32244366,shopping vitoria
187,TELEFONIA E ACESSÓRIOS,MOTOROLA,981248998,shopping vitoria
188,GASTRONOMIA,MR BEEF,33351299,shopping vitoria
189,"MODA PRAIA, GINÁSTICA E ACESSÓRIOS",MR CAPTAIN,992618331,shopping vitoria
190,CALÇADOS,MR CAT,33351306,shopping vitoria
191,GASTRONOMIA,MR. CHENEY COOKIES,98305-0092,shopping vitoria
192,ARTIGOS DO LAR,MULTICOISAS,32275955,shopping vitoria
193,INFORMÁTICA,MUNDO GEEK,32244764,shopping vitoria
194,"INFORMÁTICA,TELEFONIA E ACESSÓRIOS",MUNDO TECH (ao lado da Ponto Frio),99997-0906,shopping vitoria
195,TELEFONIA E ACESSÓRIOS,MUNDO TECH (próx. Americanas),98844-6821,shopping vitoria
196,PRODUTOS NATURAIS E MÍSTICOS,MUNDO VERDE,33351238,shopping vitoria
197,ARTIGOS ESPORTIVOS,NAÇÃO RUBRO-NEGRA,30103305,shopping vitoria
198,COSMÉTICOS E PERFUMARIA,NATURA,(27) 32245018 | (27) 995753652,shopping vitoria
199,STAND,NEW ERA,99999-5453,shopping vitoria
200,GASTRONOMIA,NUTTY BAVARIAN,31001377,shopping vitoria
201,COSMÉTICOS E PERFUMARIA,O BOTICÁRIO,3335-1273,shopping vitoria
202,GASTRONOMIA,O MELHOR BOLO DE CHOCOLATE DO MUNDO,32277555,shopping vitoria
203,"AGÊNCIA DE TURISMO E CÂMBIO,SERVIÇOS EM GERAL",OCEANO AZUL,3335-1319,shopping vitoria
204,TELEFONIA E ACESSÓRIOS,OI,0800 001 0031,shopping vitoria
205,MODA JOVEM,ORIGENS,33450915,shopping vitoria
206,MODA JOVEM,OSKLEN,998844608,shopping vitoria
207,JOIAS E RELÓGIOS,OSWALDO MOSCON,33351362,shopping vitoria
208,ÓTICA,ÓTICA CHILLI BEANS,Não informado,shopping vitoria
209,ÓTICA,ÓTICAS CACHOEIRO,33351613,shopping vitoria
