,dia da semana,periodo de funcionamento,store_id
3,domingo,11:00–21:00,117
4,segunda-feira,10:00–22:00,117
5,terça-feira,10:00–22:00,117
6,quarta-feira,10:00–22:00,117
0,quinta-feira,10:00–22:00,120
1,sexta-feira,10:00–22:00,120
2,sábado,10:00–22:00,120
3,domingo,14:00–20:00,120
4,segunda-feira,10:00–22:00,120
5,terça-feira,10:00–22:00,120
6,quarta-feira,10:00–22:00,120
0,quinta-feira,10:00–22:00,121
1,sexta-feira,10:00–22:00,121
2,sábado,10:00–22:00,121
3,domingo,14:00–20:00,121
4,segunda-feira,10:00–22:00,121
5,terça-feira,10:00–22:00,121
6,quarta-feira,10:00–22:00,121
0,quinta-feira,10:00–22:00,122
1,sexta-feira,10:00–22:00,122
2,sábado,10:00–22:00,122
3,domingo,14:00–21:00,122
4,segunda-feira,10:00–22:00,122
5,terça-feira,10:00–22:00,122
6,quarta-feira,10:00–22:00,122
0,quinta-feira,10:00–22:00,123
1,sexta-feira,10:00–22:00,123
2,sábado,10:00–22:00,123
3,domingo,14:00–20:00,123
4,segunda-feira,10:00–22:00,123
5,terça-feira,10:00–22:00,123
6,quarta-feira,10:00–22:00,123
0,quinta-feira,10:00–22:00,124
1,sexta-feira,10:00–22:00,124
2,sábado,10:00–22:00,124
3,domingo,10:00–22:00,124
4,segunda-feira,10:00–22:00,124
5,terça-feira,10:00–22:00,124
6,quarta-feira,10:00–22:00,124
0,quinta-feira,10:00–22:00,126
1,sexta-feira,10:00–22:00,126
2,sábado,10:00–22:00,126
3,domingo,14:00–20:00,126
4,segunda-feira,10:00–22:00,126
5,terça-feira,10:00–22:00,126
6,quarta-feira,10:00–22:00,126
0,quinta-feira,10:00–22:00,127
1,sexta-feira,10:00–22:00,127
2,sábado,10:00–22:00,127
3,domingo,14:00–21:00,127
4,segunda-feira,10:00–22:00,127
5,terça-feira,10:00–22:00,127
6,quarta-feira,10:00–22:00,127
0,quinta-feira,10:00–22:00,129
1,sexta-feira,10:00–22:00,129
2,sábado,10:00–22:00,129
3,domingo,14:00–21:00,129
4,segunda-feira,10:00–22:00,129
5,terça-feira,10:00–22:00,129
6,quarta-feira,10:00–22:00,129
0,quinta-feira,10:00–22:00,130
1,sexta-feira,10:00–22:00,130
2,sábado,10:00–22:00,130
3,domingo,11:00–21:00,130
4,segunda-feira,10:00–22:00,130
5,terça-feira,10:00–22:00,130
6,quarta-feira,10:00–22:00,130
0,quinta-feira,10:00–21:00,131
1,sexta-feira,10:00–21:00,131
2,sábado,10:00–21:00,131
3,domingo,14:00–21:00,131
4,segunda-feira,10:00–21:00,131
5,terça-feira,10:00–21:00,131
6,quarta-feira,10:00–21:00,131
0,quinta-feira,10:00–22:00,132
1,sexta-feira,10:00–22:00,132
2,sábado,10:00–22:00,132
3,domingo,14:00–21:00,132
4,segunda-feira,10:00–22:00,132
5,terça-feira,10:00–22:00,132
6,quarta-feira,10:00–22:00,132
0,quinta-feira,10:00–22:00,133
1,sexta-feira,10:00–22:00,133
2,sábado,10:00–22:00,133
3,domingo,14:00–21:00,133
4,segunda-feira,10:00–22:00,133
5,terça-feira,10:00–22:00,133
6,quarta-feira,10:00–22:00,133
0,quinta-feira,11:00–22:00,134
1,sexta-feira,11:00–23:00,134
2,sábado,11:00–23:00,134
3,domingo,11:00–22:00,134
4,segunda-feira,11:00–22:00,134
5,terça-feira,11:00–22:00,134
6,quarta-feira,11:00–22:00,134
0,quinta-feira,10:00–22:00,137
1,sexta-feira,10:00–22:00,137
2,sábado,10:00–22:00,137
3,domingo,15:00–21:00,137
4,segunda-feira,10:00–22:00,137
5,terça-feira,10:00–22:00,137
6,quarta-feira,10:00–22:00,137
0,quinta-feira,10:00–22:00,142
1,sexta-feira,10:00–22:00,142
2,sábado,10:00–22:00,142
3,domingo,10:00–22:00,142
4,segunda-feira,10:00–22:00,142
5,terça-feira,10:00–22:00,142
6,quarta-feira,10:00–22:00,142
0,quinta-feira,10:00–22:00,143
1,sexta-feira,10:00–22:00,143
2,sábado,10:00–22:00,143
3,domingo,14:00–21:00,143
4,segunda-feira,10:00–22:00,143
5,terça-feira,10:00–22:00,143
6,quarta-feira,10:00–22:00,143
0,quinta-feira,10:00–22:00,144
1,sexta-feira,10:00–22:00,144
2,sábado,Fechado,144
3,domingo,Fechado,144
4,segunda-feira,10:00–22:00,144
5,terça-feira,10:00–22:00,144
6,quarta-feira,10:00–22:00,144
0,quinta-feira,10:00–22:00,146
1,sexta-feira,10:00–22:00,146
2,sábado,10:00–21:00,146
3,domingo,15:00–21:00,146
4,segunda-feira,10:00–22:00,146
5,terça-feira,10:00–22:00,146
6,quarta-feira,10:00–22:00,146
0,quinta-feira,10:00–22:00,148
1,sexta-feira,10:00–22:00,148
2,sábado,10:00–22:00,148
3,domingo,14:00–22:00,148
4,segunda-feira,10:00–22:00,148
5,terça-feira,10:00–22:00,148
6,quarta-feira,10:00–22:00,148
0,quinta-feira,10:00–21:00,149
1,sexta-feira,10:00–21:00,149
2,sábado,10:00–21:00,149
3,domingo,Fechado,149
4,segunda-feira,10:00–21:00,149
5,terça-feira,10:00–21:00,149
6,quarta-feira,10:00–21:00,149
0,quinta-feira,10:00–22:00,150
1,sexta-feira,10:00–22:00,150
2,sábado,10:00–22:00,150
3,domingo,14:00–21:00,150
4,segunda-feira,10:00–22:00,150
5,terça-feira,10:00–22:00,150
6,quarta-feira,10:00–22:00,150
0,quinta-feira,10:00–22:00,151
1,sexta-feira,10:00–22:00,151
2,sábado,10:00–22:00,151
3,domingo,14:00–21:00,151
4,segunda-feira,10:00–22:00,151
5,terça-feira,10:00–22:00,151
6,quarta-feira,10:00–22:00,151
0,quinta-feira,10:00–22:00,152
1,sexta-feira,10:00–22:00,152
2,sábado,10:00–22:00,152
3,domingo,12:00–21:00,152
4,segunda-feira,10:00–22:00,152
5,terça-feira,10:00–22:00,152
6,quarta-feira,10:00–22:00,152
0,quinta-feira,12:00–20:00,154
1,sexta-feira,12:00–20:00,154
2,sábado,12:00–20:00,154
3,domingo,Fechado,154
4,segunda-feira,12:00–20:00,154
5,terça-feira,12:00–20:00,154
6,quarta-feira,12:00–20:00,154
0,quinta-feira,10:00–22:00,155
1,sexta-feira,10:00–22:00,155
2,sábado,10:00–22:00,155
3,domingo,15:00–21:00,155
4,segunda-feira,10:00–22:00,155
5,terça-feira,10:00–22:00,155
6,quarta-feira,10:00–22:00,155
0,quinta-feira,10:00–22:00,157
1,sexta-feira,10:00–22:00,157
2,sábado,10:00–22:00,157
3,domingo,14:00–21:00,157
4,segunda-feira,10:00–22:00,157
5,terça-feira,10:00–22:00,157
6,quarta-feira,10:00–22:00,157
0,quinta-feira,10:00–22:00,158
1,sexta-feira,10:00–22:00,158
2,sábado,10:00–22:00,158
3,domingo,14:00–21:00,158
4,segunda-feira,10:00–22:00,158
5,terça-feira,10:00–22:00,158
6,quarta-feira,10:00–22:00,158
0,quinta-feira,14:00–20:00,159
1,sexta-feira,14:00–20:00,159
2,sábado,Fechado,159
3,domingo,Fechado,159
4,segunda-feira,14:00–20:00,159
5,terça-feira,14:00–20:00,159
6,quarta-feira,14:00–20:00,159
0,quinta-feira,10:00–22:00,160
1,sexta-feira,10:00–22:00,160
2,sábado,10:00–22:00,160
3,domingo,14:00–21:00,160
4,segunda-feira,10:00–22:00,160
5,terça-feira,10:00–22:00,160
6,quarta-feira,10:00–22:00,160
0,quinta-feira,10:00–22:00,161
1,sexta-feira,10:00–22:00,161
2,sábado,10:00–22:00,161
3,domingo,15:00–21:00,161
4,segunda-feira,10:00–22:00,161
5,terça-feira,10:00–22:00,161
6,quarta-feira,10:00–22:00,161
0,quinta-feira,10:00–22:00,163
1,sexta-feira,10:00–22:00,163
2,sábado,10:00–22:00,163
3,domingo,15:00–21:00,163
4,segunda-feira,10:00–22:00,163
5,terça-feira,10:00–22:00,163
6,quarta-feira,10:00–22:00,163
0,quinta-feira,11:45–22:00,164
1,sexta-feira,11:45–22:00,164
2,sábado,11:45–22:00,164
3,domingo,11:45–16:00,164
4,segunda-feira,11:45–22:00,164
5,terça-feira,11:45–22:00,164
6,quarta-feira,11:45–22:00,164
0,quinta-feira,10:00–22:00,166
1,sexta-feira,10:00–22:00,166
2,sábado,10:00–22:00,166
3,domingo,10:00–22:00,166
4,segunda-feira,10:00–22:00,166
5,terça-feira,10:00–22:00,166
6,quarta-feira,10:00–22:00,166
0,quinta-feira,14:00–20:00,168
1,sexta-feira,14:00–20:00,168
2,sábado,14:00–20:00,168
3,domingo,14:00–20:00,168
4,segunda-feira,14:00–20:00,168
5,terça-feira,14:00–20:00,168
6,quarta-feira,14:00–20:00,168
0,quinta-feira,10:00–22:00,169
1,sexta-feira,10:00–22:00,169
2,sábado,10:00–22:00,169
3,domingo,12:00–21:00,169
4,segunda-feira,10:00–22:00,169
5,terça-feira,10:00–22:00,169
6,quarta-feira,10:00–22:00,169
0,quinta-feira,08:00–18:00,170
1,sexta-feira,08:00–18:00,170
2,sábado,08:00–18:00,170
3,domingo,Fechado,170
4,segunda-feira,08:00–18:00,170
5,terça-feira,08:00–18:00,170
6,quarta-feira,08:00–18:00,170
0,quinta-feira,09:00–19:00,173
1,sexta-feira,09:00–19:00,173
2,sábado,09:00–18:00,173
3,domingo,Fechado,173
4,segunda-feira,09:00–19:00,173
5,terça-feira,09:00–19:00,173
6,quarta-feira,09:00–19:00,173
0,quinta-feira,10:00–22:00,174
1,sexta-feira,10:00–22:00,174
2,sábado,10:00–22:00,174
3,domingo,14:00–21:00,174
4,segunda-feira,10:00–22:00,174
5,terça-feira,10:00–22:00,174
6,quarta-feira,10:00–22:00,174
0,quinta-feira,10:00–22:00,176
1,sexta-feira,10:00–22:00,176
2,sábado,10:00–22:00,176
3,domingo,15:00–21:00,176
4,segunda-feira,10:00–22:00,176
5,terça-feira,10:00–22:00,176
6,quarta-feira,10:00–22:00,176
0,quinta-feira,10:00–22:00,180
1,sexta-feira,10:00–22:00,180
2,sábado,10:00–22:00,180
3,domingo,14:00–21:00,180
4,segunda-feira,10:00–22:00,180
5,terça-feira,10:00–22:00,180
6,quarta-feira,10:00–22:00,180
0,quinta-feira,10:00–22:00,181
1,sexta-feira,10:00–22:00,181
2,sábado,10:00–22:00,181
3,domingo,14:00–21:00,181
4,segunda-feira,10:00–22:00,181
5,terça-feira,10:00–22:00,181
6,quarta-feira,10:00–22:00,181
0,quinta-feira,10:00–22:00,182
1,sexta-feira,10:00–22:00,182
2,sábado,10:00–22:00,182
3,domingo,11:00–22:00,182
4,segunda-feira,10:00–22:00,182
5,terça-feira,10:00–22:00,182
6,quarta-feira,10:00–22:00,182
0,quinta-feira,10:00–22:00,183
1,sexta-feira,10:00–22:00,183
2,sábado,10:00–22:00,183
3,domingo,13:00–21:00,183
4,segunda-feira,10:00–22:00,183
5,terça-feira,10:00–22:00,183
6,quarta-feira,10:00–22:00,183
0,quinta-feira,10:00–22:00,184
1,sexta-feira,10:00–22:00,184
2,sábado,10:00–22:00,184
3,domingo,13:00–20:00,184
4,segunda-feira,10:00–22:00,184
5,terça-feira,10:00–22:00,184
6,quarta-feira,10:00–22:00,184
0,quinta-feira,10:00–21:30,185
1,sexta-feira,10:00–21:30,185
2,sábado,10:00–21:30,185
3,domingo,14:00–20:30,185
4,segunda-feira,10:00–21:30,185
5,terça-feira,10:00–21:30,185
6,quarta-feira,10:00–21:30,185
0,quinta-feira,10:00–22:00,186
1,sexta-feira,10:00–22:00,186
2,sábado,10:00–22:00,186
3,domingo,14:00–21:00,186
4,segunda-feira,10:00–22:00,186
5,terça-feira,10:00–22:00,186
6,quarta-feira,10:00–22:00,186
0,quinta-feira,09:00–19:00,187
1,sexta-feira,09:00–19:00,187
2,sábado,09:00–14:00,187
3,domingo,Fechado,187
4,segunda-feira,09:00–19:00,187
5,terça-feira,09:00–19:00,187
6,quarta-feira,09:00–19:00,187
0,quinta-feira,10:00–22:00,188
1,sexta-feira,10:00–22:00,188
2,sábado,10:00–22:00,188
3,domingo,15:00–21:00,188
4,segunda-feira,10:00–22:00,188
5,terça-feira,10:00–22:00,188
6,quarta-feira,10:00–22:00,188
0,quinta-feira,10:00–22:00,189
1,sexta-feira,10:00–22:00,189
2,sábado,10:00–22:00,189
3,domingo,14:00–21:00,189
4,segunda-feira,10:00–22:00,189
5,terça-feira,10:00–22:00,189
6,quarta-feira,10:00–22:00,189
0,quinta-feira,10:00–22:00,190
1,sexta-feira,10:00–22:00,190
2,sábado,10:00–22:00,190
3,domingo,14:00–21:00,190
4,segunda-feira,10:00–22:00,190
5,terça-feira,10:00–22:00,190
6,quarta-feira,10:00–22:00,190
0,quinta-feira,10:00–22:00,192
1,sexta-feira,10:00–22:00,192
2,sábado,10:00–22:00,192
3,domingo,13:00–21:00,192
4,segunda-feira,10:00–22:00,192
5,terça-feira,10:00–22:00,192
6,quarta-feira,10:00–22:00,192
0,quinta-feira,10:00–22:00,193
1,sexta-feira,10:00–22:00,193
2,sábado,10:00–22:00,193
3,domingo,13:00–21:00,193
4,segunda-feira,10:00–22:00,193
5,terça-feira,10:00–22:00,193
6,quarta-feira,10:00–22:00,193
0,quinta-feira,10:00–22:00,194
1,sexta-feira,10:00–22:00,194
2,sábado,10:00–22:00,194
3,domingo,14:00–21:00,194
4,segunda-feira,10:00–22:00,194
5,terça-feira,10:00–22:00,194
6,quarta-feira,10:00–22:00,194
0,quinta-feira,10:00–22:00,195
1,sexta-feira,10:00–22:00,195
2,sábado,10:00–22:00,195
3,domingo,14:00–21:00,195
4,segunda-feira,10:00–22:00,195
5,terça-feira,10:00–22:00,195
6,quarta-feira,10:00–22:00,195
0,quinta-feira,10:00–22:00,196
1,sexta-feira,10:00–22:00,196
2,sábado,10:00–22:00,196
3,domingo,15:00–21:00,196
4,segunda-feira,10:00–22:00,196
5,terça-feira,10:00–22:00,196
6,quarta-feira,10:00–22:00,196
0,quinta-feira,10:00–22:00,197
1,sexta-feira,10:00–22:00,197
2,sábado,10:00–22:00,197
3,domingo,12:00–21:00,197
4,segunda-feira,10:00–22:00,197
5,terça-feira,10:00–22:00,197
6,quarta-feira,10:00–22:00,197
0,quinta-feira,10:00–22:00,200
1,sexta-feira,10:00–22:00,200
2,sábado,10:00–22:00,200
3,domingo,15:00–21:00,200
4,segunda-feira,10:00–22:00,200
5,terça-feira,10:00–22:00,200
6,quarta-feira,10:00–22:00,200
0,quinta-feira,10:00–22:00,201
1,sexta-feira,10:00–22:00,201
2,sábado,10:00–22:00,201
3,domingo,10:00–22:00,201
4,segunda-feira,10:00–22:00,201
5,terça-feira,10:00–22:00,201
6,quarta-feira,10:00–22:00,201
0,quinta-feira,10:00–22:00,202
1,sexta-feira,10:00–22:00,202
2,sábado,10:00–22:00,202
3,domingo,14:00–21:00,202
4,segunda-feira,10:00–22:00,202
5,terça-feira,10:00–22:00,202
6,quarta-feira,10:00–22:00,202
0,quinta-feira,10:00–21:50,204
1,sexta-feira,10:00–21:50,204
2,sábado,10:00–21:50,204
3,domingo,14:00–20:50,204
4,segunda-feira,10:00–21:50,204
5,terça-feira,10:00–21:50,204
6,quarta-feira,10:00–21:50,204
0,quinta-feira,10:00–22:00,205
1,sexta-feira,10:00–22:00,205
2,sábado,10:00–22:00,205
3,domingo,14:00–21:00,205
4,segunda-feira,10:00–22:00,205
5,terça-feira,10:00–22:00,205
6,quarta-feira,10:00–22:00,205
0,quinta-feira,10:00–22:00,206
1,sexta-feira,10:00–22:00,206
2,sábado,10:00–22:00,206
3,domingo,14:00–21:00,206
4,segunda-feira,10:00–22:00,206
5,terça-feira,10:00–22:00,206
6,quarta-feira,10:00–22:00,206
0,quinta-feira,12:00–20:00,207
1,sexta-feira,12:00–20:00,207
2,sábado,12:00–20:00,207
3,domingo,Fechado,207
4,segunda-feira,12:00–20:00,207
5,terça-feira,12:00–20:00,207
6,quarta-feira,12:00–20:00,207
0,quinta-feira,10:00–22:00,208
1,sexta-feira,10:00–22:00,208
2,sábado,10:00–22:00,208
3,domingo,14:00–21:00,208
4,segunda-feira,10:00–22:00,208
5,terça-feira,10:00–22:00,208
6,quarta-feira,10:00–22:00,208
0,quinta-feira,12:00–20:00,209
1,sexta-feira,12:00–20:00,209
2,sábado,Fechado,209
3,domingo,Fechado,209
4,segunda-feira,12:00–20:00,209
5,terça-feira,12:00–20:00,209
6,quarta-feira,12:00–20:00,209
